date_key,date,year,quarter_number,quarter_text,month,year_month,week,year_week,week_start,week_end,week_range,abbreviated_weekday,weekday
1,"2021-01-01 00:00:00",2021,1,"Q1 2021",1,"January 2021",53,"2020, Week 53","2020-12-28 00:00:00",2021-01-03,"Dec 28, 2020 to Jan 03, 2021 (Week 53)",Fri,Friday
2,"2021-01-02 00:00:00",2021,1,"Q1 2021",1,"January 2021",53,"2020, Week 53","2020-12-28 00:00:00",2021-01-03,"Dec 28, 2020 to Jan 03, 2021 (Week 53)",Sat,Saturday
3,"2021-01-03 00:00:00",2021,1,"Q1 2021",1,"January 2021",53,"2020, Week 53","2020-12-28 00:00:00",2021-01-03,"Dec 28, 2020 to Jan 03, 2021 (Week 53)",Sun,Sunday
4,"2021-01-04 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Mon,Monday
5,"2021-01-05 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Tue,Tuesday
6,"2021-01-06 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Wed,Wednesday
7,"2021-01-07 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Thu,Thursday
8,"2021-01-08 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Fri,Friday
9,"2021-01-09 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Sat,Saturday
10,"2021-01-10 00:00:00",2021,1,"Q1 2021",1,"January 2021",1,"2021, Week 1","2021-01-04 00:00:00",2021-01-10,"Jan 04, 2021 to Jan 10, 2021 (Week 1)",Sun,Sunday
11,"2021-01-11 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Mon,Monday
12,"2021-01-12 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Tue,Tuesday
13,"2021-01-13 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Wed,Wednesday
14,"2021-01-14 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Thu,Thursday
15,"2021-01-15 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Fri,Friday
16,"2021-01-16 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Sat,Saturday
17,"2021-01-17 00:00:00",2021,1,"Q1 2021",1,"January 2021",2,"2021, Week 2","2021-01-11 00:00:00",2021-01-17,"Jan 11, 2021 to Jan 17, 2021 (Week 2)",Sun,Sunday
18,"2021-01-18 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Mon,Monday
19,"2021-01-19 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Tue,Tuesday
20,"2021-01-20 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Wed,Wednesday
21,"2021-01-21 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Thu,Thursday
22,"2021-01-22 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Fri,Friday
23,"2021-01-23 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Sat,Saturday
24,"2021-01-24 00:00:00",2021,1,"Q1 2021",1,"January 2021",3,"2021, Week 3","2021-01-18 00:00:00",2021-01-24,"Jan 18, 2021 to Jan 24, 2021 (Week 3)",Sun,Sunday
25,"2021-01-25 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Mon,Monday
